                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.37157,                0.26119,                0.82895,                 0.9652,                0.96044,                0.98832,                 0.9195,                0.41023,                0.26008,                0.82847,               0.006436,               0.006436,               0.006436
                     38,                0.36473,                  0.261,                0.82863,                0.96279,                0.96342,                0.98857,                0.91603,                0.41267,                0.26137,                0.82741,               0.006337,               0.006337,               0.006337
                     39,                 0.3627,                0.25517,                0.82476,                0.96155,                 0.9637,                0.98841,                0.92125,                0.40627,                0.25286,                0.82738,               0.006238,               0.006238,               0.006238
                     40,                0.36093,                 0.2539,                0.82737,                0.96504,                0.96307,                 0.9882,                0.92179,                0.41022,                 0.2556,                0.82586,               0.006139,               0.006139,               0.006139
                     41,                0.36173,                 0.2552,                0.82634,                0.96114,                0.96711,                0.98804,                0.91744,                0.40743,                0.25835,                 0.8242,                0.00604,                0.00604,                0.00604
                     42,                0.35577,                0.25263,                0.82705,                0.96284,                0.96548,                0.98931,                0.92057,                0.40704,                0.25298,                0.82646,               0.005941,               0.005941,               0.005941
                     43,                0.35101,                0.24824,                0.82409,                0.96521,                0.96376,                 0.9893,                0.92249,                 0.4022,                0.24828,                0.82367,               0.005842,               0.005842,               0.005842
                     44,                0.34882,                 0.2463,                 0.8236,                 0.9629,                0.96571,                0.98853,                0.92312,                0.40111,                0.24723,                0.82361,               0.005743,               0.005743,               0.005743
                     45,                0.34886,                0.24534,                0.82435,                0.96469,                0.96525,                0.98869,                0.92265,                0.39783,                0.25012,                0.82496,               0.005644,               0.005644,               0.005644
                     46,                0.34427,                0.24304,                0.82456,                0.96339,                0.96823,                0.98952,                0.92647,                0.39707,                0.24315,                0.82366,               0.005545,               0.005545,               0.005545
                     47,                0.33882,                0.23963,                0.82138,                0.97038,                0.96192,                0.98965,                0.92768,                0.39244,                0.24087,                0.82111,               0.005446,               0.005446,               0.005446
                     48,                0.34125,                0.24097,                 0.8214,                0.96561,                 0.9617,                0.98958,                0.92426,                0.39502,                0.24581,                0.82269,               0.005347,               0.005347,               0.005347
                     49,                0.33842,                 0.2397,                0.82274,                0.96786,                0.96701,                0.98959,                0.92562,                0.39081,                0.23899,                0.82313,               0.005248,               0.005248,               0.005248
                     50,                0.33704,                0.24003,                0.82052,                0.96043,                0.97144,                0.98955,                0.92548,                0.39395,                0.24402,                 0.8228,               0.005149,               0.005149,               0.005149
                     51,                0.33048,                0.23525,                0.81952,                0.96968,                0.96455,                0.98949,                 0.9266,                0.38878,                0.23883,                0.81953,                0.00505,                0.00505,                0.00505
                     52,                  0.327,                0.23018,                0.81824,                0.96775,                0.96548,                0.98949,                0.92679,                 0.3889,                0.23908,                0.82077,               0.004951,               0.004951,               0.004951
                     53,                0.32524,                0.23049,                0.81967,                0.96789,                0.96778,                0.98972,                0.92957,                0.38229,                0.23358,                0.81852,               0.004852,               0.004852,               0.004852
                     54,                0.32609,                0.23123,                0.81955,                0.96804,                0.96551,                0.98968,                0.92825,                0.38523,                0.23834,                0.81988,               0.004753,               0.004753,               0.004753
                     55,                0.31865,                0.22665,                0.81782,                0.96989,                0.96766,                0.99029,                0.92916,                0.38068,                0.23107,                0.81957,               0.004654,               0.004654,               0.004654
                     56,                0.31837,                0.22534,                0.81965,                0.96982,                0.96929,                0.99063,                0.93021,                0.38123,                0.22865,                0.81997,               0.004555,               0.004555,               0.004555
                     57,                0.31824,                0.22426,                 0.8174,                0.96868,                0.96732,                0.99044,                0.92992,                0.38068,                0.23017,                0.81629,               0.004456,               0.004456,               0.004456
                     58,                0.31677,                0.22325,                0.81584,                0.97006,                0.96965,                0.99123,                0.93147,                0.37999,                0.22376,                0.81787,               0.004357,               0.004357,               0.004357
                     59,                0.31258,                0.21897,                 0.8183,                0.97257,                0.96651,                0.99093,                0.93266,                 0.3787,                0.22502,                0.81753,               0.004258,               0.004258,               0.004258
                     60,                0.31109,                0.21962,                0.81573,                  0.969,                0.96771,                0.99082,                  0.932,                0.37625,                0.22933,                0.81542,               0.004159,               0.004159,               0.004159
                     61,                0.30791,                0.21536,                0.81633,                0.97196,                   0.97,                0.99116,                0.93418,                0.37392,                 0.2218,                0.81793,                0.00406,                0.00406,                0.00406
                     62,                0.30976,                0.21863,                0.81674,                 0.9671,                0.97018,                0.99086,                0.93103,                0.37695,                0.22927,                0.81684,               0.003961,               0.003961,               0.003961
                     63,                0.30351,                0.21416,                0.81428,                0.97315,                0.96858,                0.99142,                0.93454,                0.37279,                0.21811,                0.81673,               0.003862,               0.003862,               0.003862
                     64,                0.30016,                0.20931,                 0.8137,                0.97252,                0.96992,                0.99175,                0.93604,                0.37178,                0.21652,                0.81712,               0.003763,               0.003763,               0.003763
                     65,                0.29726,                0.21032,                0.81289,                0.96931,                0.97073,                 0.9915,                 0.9352,                0.36979,                0.21857,                0.81546,               0.003664,               0.003664,               0.003664
                     66,                 0.2952,                0.20644,                0.81411,                0.97179,                  0.968,                 0.9912,                0.93495,                0.36804,                 0.2177,                0.81485,               0.003565,               0.003565,               0.003565
                     67,                0.29586,                0.20645,                0.81221,                0.97015,                0.97167,                0.99157,                0.93729,                0.36579,                0.21511,                0.81366,               0.003466,               0.003466,               0.003466
                     68,                0.29199,                0.20686,                0.81227,                0.96855,                0.97248,                0.99152,                0.93575,                0.36816,                0.21757,                0.81554,               0.003367,               0.003367,               0.003367
                     69,                0.29197,                0.20733,                0.81367,                0.96784,                0.97282,                 0.9912,                0.93476,                0.36692,                0.22162,                0.81428,               0.003268,               0.003268,               0.003268
                     70,                0.28652,                0.20313,                0.81282,                0.96968,                0.97197,                0.99133,                0.93616,                0.36482,                0.21617,                0.81382,               0.003169,               0.003169,               0.003169
                     71,                0.28769,                0.20309,                0.81198,                0.96996,                0.97156,                0.99132,                0.93831,                0.36141,                0.21364,                0.81166,                0.00307,                0.00307,                0.00307
                     72,                0.28565,                0.20072,                 0.8118,                0.96995,                 0.9734,                0.99133,                0.93831,                0.36248,                0.21415,                0.81232,               0.002971,               0.002971,               0.002971
                     73,                 0.2795,                0.19442,                0.81215,                0.97366,                0.97073,                0.99182,                0.93896,                0.36028,                0.21187,                0.81149,               0.002872,               0.002872,               0.002872
                     74,                0.27962,                0.19666,                0.81269,                 0.9717,                0.97328,                0.99196,                0.93886,                0.35886,                0.20925,                0.81133,               0.002773,               0.002773,               0.002773
                     75,                0.27629,                0.19202,                 0.8104,                0.97152,                0.97282,                0.99187,                0.93908,                0.35834,                0.20922,                0.81202,               0.002674,               0.002674,               0.002674
                     76,                0.27366,                0.19191,                 0.8102,                0.97333,                0.97144,                0.99188,                0.93985,                0.35722,                0.20791,                0.81169,               0.002575,               0.002575,               0.002575
                     77,                 0.2736,                0.19102,                0.81085,                0.97177,                0.97523,                0.99209,                0.94119,                0.35477,                0.20541,                0.81029,               0.002476,               0.002476,               0.002476
                     78,                0.26978,                0.19051,                0.81089,                0.97255,                0.97498,                0.99205,                0.94104,                0.35427,                0.20651,                0.81011,               0.002377,               0.002377,               0.002377
                     79,                0.26907,                0.19031,                0.80811,                0.97309,                0.97351,                0.99192,                0.94076,                  0.354,                0.20703,                0.80992,               0.002278,               0.002278,               0.002278
                     80,                0.26665,                0.18827,                0.80769,                 0.9731,                 0.9719,                0.99188,                0.94124,                0.35233,                0.20661,                0.80881,               0.002179,               0.002179,               0.002179
                     81,                0.25871,                0.18477,                0.80581,                0.97336,                0.97205,                0.99222,                0.94238,                0.35046,                0.20523,                0.80873,                0.00208,                0.00208,                0.00208
                     82,                0.26339,                0.18336,                0.80781,                0.97319,                0.97408,                0.99227,                0.94183,                0.35043,                0.20357,                0.80859,               0.001981,               0.001981,               0.001981
                     83,                0.26162,                0.18316,                0.80837,                0.97646,                 0.9705,                0.99228,                0.94285,                0.34905,                0.20222,                0.80813,               0.001882,               0.001882,               0.001882
                     84,                0.25581,                0.17724,                0.80624,                0.97496,                0.97339,                 0.9924,                0.94303,                0.34868,                 0.2008,                0.80829,               0.001783,               0.001783,               0.001783
                     85,                0.25567,                0.17943,                0.80761,                0.97575,                0.97351,                0.99242,                0.94272,                0.34921,                0.19961,                0.80926,               0.001684,               0.001684,               0.001684
                     86,                0.25396,                0.17794,                0.80703,                0.97631,                0.97361,                0.99245,                0.94248,                 0.3487,                0.19995,                0.80849,               0.001585,               0.001585,               0.001585
                     87,                0.25181,                0.17641,                0.80576,                0.97563,                0.97454,                0.99246,                 0.9438,                0.34624,                0.19884,                0.80738,               0.001486,               0.001486,               0.001486
                     88,                0.24677,                0.17332,                0.80475,                0.97434,                0.97592,                0.99249,                0.94408,                 0.3456,                0.19734,                 0.8073,               0.001387,               0.001387,               0.001387
                     89,                0.24824,                 0.1716,                 0.8048,                0.97636,                0.97443,                0.99249,                0.94433,                0.34392,                0.19663,                0.80691,               0.001288,               0.001288,               0.001288
                     90,                0.24399,                0.17085,                0.80377,                0.97588,                 0.9745,                0.99252,                0.94494,                0.34379,                0.19701,                0.80699,               0.001189,               0.001189,               0.001189
                     91,                0.39129,                 0.2377,                0.82247,                0.97298,                0.97718,                0.99266,                0.94523,                0.33721,                0.19479,                0.80521,                0.00109,                0.00109,                0.00109
                     92,                0.38038,                0.22775,                0.81456,                0.97835,                0.97454,                0.99287,                0.94805,                0.33128,                0.19167,                0.80359,               0.000991,               0.000991,               0.000991
                     93,                0.37259,                0.22263,                0.81659,                0.97857,                 0.9741,                0.99306,                0.94979,                0.32603,                0.18956,                0.80233,               0.000892,               0.000892,               0.000892
                     94,                0.36737,                0.21684,                0.81256,                 0.9821,                0.97408,                0.99334,                0.95113,                0.32253,                0.18696,                0.80141,               0.000793,               0.000793,               0.000793
                     95,                0.36703,                0.21713,                0.81331,                0.98101,                0.97569,                0.99348,                0.95258,                0.31959,                0.18489,                 0.8007,               0.000694,               0.000694,               0.000694
                     96,                0.35838,                0.21148,                0.81211,                0.98316,                  0.975,                0.99351,                0.95309,                0.31745,                0.18319,                 0.8001,               0.000595,               0.000595,               0.000595
                     97,                0.35361,                0.20691,                0.81042,                0.98026,                0.97937,                0.99362,                0.95411,                 0.3152,                0.18149,                0.79954,               0.000496,               0.000496,               0.000496
                     98,                  0.353,                0.20481,                0.80998,                0.97966,                0.98154,                0.99369,                0.95493,                0.31329,                0.18043,                0.79899,               0.000397,               0.000397,               0.000397
                     99,                0.34916,                 0.2034,                0.80972,                 0.9807,                0.98119,                0.99375,                0.95487,                0.31169,                0.17938,                0.79859,               0.000298,               0.000298,               0.000298
                    100,                0.34612,                0.19786,                0.80665,                0.98122,                0.98108,                0.99379,                0.95522,                0.31059,                0.17861,                 0.7983,               0.000199,               0.000199,               0.000199
